15S_RRNA	15S ribosomal RNA
BUL1	ubiquitin-ubiquitin ligase BUL1
BUL2	ubiquitin-ubiquitin ligase BUL2
BUR2	Bur2p
BUR6	negative cofactor 2 transcription regulator complex subunit BUR6
BXI1	Bxi1p
BYE1	Bye1p
BZZ1	Bzz1p
CAB1	pantothenate kinase
CAB2	phosphopantothenate--cysteine ligase CAB2
CAB3	phosphopantothenoylcysteine decarboxylase complex subunit CAB3
CAB4	putative pantetheine-phosphate adenylyltransferase
CAB5	putative dephospho-CoA kinase
CAC2	Cac2p
CAD1	Cad1p
CAF120	Caf120p
CAF130	CCR4-NOT core subunit CAF130
CAF16	putative ATP-binding cassette family ATPase CAF16
CAF20	Caf20p
CAF4	Caf4p
CAF40	CCR4-NOT core subunit CAF40
CAJ1	Caj1p
CAK1	cyclin-dependent protein kinase-activating kinase CAK1
CAM1	translation elongation factor EF1B gamma
CAN1	arginine permease CAN1
CAP1	Cap1p
CAP2	F-actin-capping protein subunit beta
CAR1	arginase
CAR2	ornithine-oxo-acid transaminase
CAT2	carnitine O-acetyltransferase CAT2
CAT5	putative monooxygenase CAT5
CAT8	DNA-binding transcription factor CAT8
CAX4	Cax4p
CBC2	Cbc2p
CBF1	Cbf1p
CBF2	Cbf2p
CBF5	pseudouridine synthase CBF5
CBK1	serine/threonine protein kinase CBK1
CBP1	Cbp1p
CBP2	Cbp2p
CBP3	Cbp3p
CBP4	Cbp4p
CBP6	Cbp6p
CBR1	Cbr1p
CBS1	Cbs1p
CBS2	Cbs2p
CBT1	Cbt1p
CCA1	tRNA adenylyltransferase
CCC1	Ccc1p
CCC2	Cu(2+)-transporting P-type ATPase CCC2
CCE1	cruciform cutting endonuclease
CCH1	Cch1p
CCL1	TFIIH complex kinase subunit CCL1
CCM1	Ccm1p
CCP1	cytochrome-c peroxidase
CCR4	CCR4-NOT core exoribonuclease subunit CCR4
CCS1	copper chaperone CCS1
CCT2	chaperonin-containing T-complex subunit CCT2
CCT3	chaperonin-containing T-complex subunit CCT3
CCT4	chaperonin-containing T-complex subunit CCT4
CCT5	chaperonin-containing T-complex subunit CCT5
CCT6	chaperonin-containing T-complex subunit CCT6
CCT7	chaperonin-containing T-complex subunit CCT7
CCT8	chaperonin-containing T-complex subunit CCT8
CCW12	Ccw12p
CCW14	Ccw14p
CCZ1	Ccz1p
CDA1	chitin deacetylase CDA1
CDA2	chitin deacetylase CDA2
CDC1	putative lipid phosphatase CDC1
CDC10	septin CDC10
CDC11	septin CDC11
CDC12	septin CDC12
CDC123	cell proliferation protein CDC123
CDC13	telomere-binding protein CDC13
CDC14	phosphoprotein phosphatase CDC14
CDC15	serine/threonine protein kinase CDC15
CDC16	anaphase promoting complex subunit CDC16
CDC19	pyruvate kinase CDC19
CDC20	ubiquitin-protein transferase activating protein CDC20
CDC21	thymidylate synthase
CDC23	anaphase promoting complex subunit CDC23
CDC24	Rho family guanine nucleotide exchange factor CDC24
CDC25	Ras family guanine nucleotide exchange factor CDC25
CDC26	anaphase promoting complex subunit CDC26
CDC27	anaphase promoting complex subunit CDC27
CDC28	cyclin-dependent serine/threonine-protein kinase CDC28
CDC3	septin CDC3
CDC31	centrin
CDC33	translation initiation factor eIF4E
CDC34	SCF E2 ubiquitin-protein ligase catalytic subunit CDC34
CDC36	CCR4-NOT core subunit CDC36
CDC37	Cdc37p
CDC39	CCR4-NOT core subunit CDC39
CDC4	SCF ubiquitin ligase complex subunit CDC4
CDC40	Cdc40p
CDC42	Rho family GTPase CDC42
CDC43	protein geranylgeranyltransferase type I subunit CDC43
CDC45	DNA replication initiation factor CDC45
CDC48	AAA family ATPase CDC48
CDC5	polo kinase CDC5
CDC50	aminophospholipid translocase regulatory protein CDC50
CDC53	cullin CDC53
CDC55	protein phosphatase 2A regulatory subunit CDC55
CDC6	AAA family ATPase CDC6
CDC60	leucine--tRNA ligase CDC60
CDC65	tRNA
CDC7	serine/threonine protein kinase CDC7
CDC73	Cdc73p
CDC8	bifunctional thymidylate/uridylate kinase
CDC9	DNA ligase (ATP) CDC9
CDD1	cytidine deaminase
CDH1	Cdh1p
CDS1	phosphatidate cytidylyltransferase
CEF1	Cef1p
CEG1	mRNA guanylyltransferase
CEM1	fatty acid synthase CEM1
CEP3	Cep3p
CET1	polynucleotide 5'-phosphatase
CEX1	Cex1p
CFD1	iron-sulfur cluster assembly protein CFD1
CFT1	Cft1p
CFT2	cleavage polyadenylation factor subunit CFT2
CGI121	Cgi121p
CGR1	Cgr1p
CHA1	L-serine/L-threonine ammonia-lyase CHA1
CHA4	Cha4p
CHC1	clathrin heavy chain
CHD1	chromatin-remodeling ATPase CHD1
CHK1	serine/threonine protein kinase CHK1
CHL1	Chl1p
CHL4	Chl4p
CHM7	Chm7p
CHO1	CDP-diacylglycerol-serine O-phosphatidyltransferase
CHO2	phosphatidylethanolamine N-methyltransferase
CHS1	chitin synthase CHS1
CHS2	chitin synthase CHS2
CHS3	chitin synthase CHS3
CHS5	Chs5p
CHS6	Chs6p
CHS7	Chs7p
CHZ1	Chz1p
CIA1	iron-sulfur cluster assembly protein CIA1
CIA2	iron-sulfur cluster assembly protein CIA2
CIC1	Cic1p
CIK1	Cik1p
CIN1	Cin1p
CIN10	Cin10p
CIN2	GTPase-activating protein CIN2
CIN4	Arf family GTPase CIN4
CIN5	Cin5p
CIN8	kinesin motor protein CIN8
CIP1	Cip1p
CIR1	Cir1p
CIR2	putative electron-transferring-flavoprotein dehydrogenase
CIS1	Cis1p
CIS3	Cis3p
CIT1	citrate (Si)-synthase CIT1
CIT2	citrate (Si)-synthase CIT2
CIT3	citrate (Si)-synthase CIT3
CKA1	casein kinase 2 catalytic subunit CKA1
CKA2	casein kinase 2 catalytic subunit CKA2
CKB1	casein kinase 2 regulatory subunit CKB1
CKB2	casein kinase 2 regulatory subunit CKB2
CKI1	bifunctional choline kinase/ethanolamine kinase CKI1
CKS1	cyclin-dependent protein kinase regulatory subunit CKS1
CLA4	serine/threonine protein kinase CLA4
CLB1	B-type cyclin CLB1
CLB2	B-type cyclin CLB2
CLB3	B-type cyclin CLB3
CLB4	B-type cyclin CLB4
CLB5	B-type cyclin CLB5
CLB6	B-type cyclin CLB6
CLC1	Clc1p
CLD1	carboxylic ester hydrolase
CLF1	Clf1p
CLG1	Clg1p
CLN1	cyclin CLN1
CLN2	cyclin CLN2
CLN3	cyclin CLN3
CLP1	cleavage polyadenylation factor subunit CLP1
CLU1	translation initiation factor 3 subunit CLU1
CMC1	Cmc1p
CMC2	Cmc2p
